DATE_KEY,YEAR,MONTH,DAY,WEEKDAY,IS_WEEKDAY,FISCAL_YEAR,FISCAL_QUARTER,FISCAL_YEAR_LABEL
2015-10-12,2015,10,12,月,1,2015,Q3,2015年度
2015-10-13,2015,10,13,火,1,2015,Q3,2015年度
2015-10-14,2015,10,14,水,1,2015,Q3,2015年度
2015-10-15,2015,10,15,木,1,2015,Q3,2015年度
2015-10-16,2015,10,16,金,1,2015,Q3,2015年度
2015-10-17,2015,10,17,土,0,2015,Q3,2015年度
2015-10-18,2015,10,18,日,0,2015,Q3,2015年度
2015-10-19,2015,10,19,月,1,2015,Q3,2015年度
2015-10-20,2015,10,20,火,1,2015,Q3,2015年度
2015-10-21,2015,10,21,水,1,2015,Q3,2015年度
2015-10-22,2015,10,22,木,1,2015,Q3,2015年度
2015-10-23,2015,10,23,金,1,2015,Q3,2015年度
2015-10-24,2015,10,24,土,0,2015,Q3,2015年度
2015-10-25,2015,10,25,日,0,2015,Q3,2015年度
2015-10-26,2015,10,26,月,1,2015,Q3,2015年度
2015-10-27,2015,10,27,火,1,2015,Q3,2015年度
2015-10-28,2015,10,28,水,1,2015,Q3,2015年度
2015-10-29,2015,10,29,木,1,2015,Q3,2015年度
2015-10-30,2015,10,30,金,1,2015,Q3,2015年度
2015-10-31,2015,10,31,土,0,2015,Q3,2015年度
2015-11-01,2015,11,1,日,0,2015,Q3,2015年度
2015-11-02,2015,11,2,月,1,2015,Q3,2015年度
2015-11-03,2015,11,3,火,1,2015,Q3,2015年度
2015-11-04,2015,11,4,水,1,2015,Q3,2015年度
2015-11-05,2015,11,5,木,1,2015,Q3,2015年度
2015-11-06,2015,11,6,金,1,2015,Q3,2015年度
2015-11-07,2015,11,7,土,0,2015,Q3,2015年度
2015-11-08,2015,11,8,日,0,2015,Q3,2015年度
2015-11-09,2015,11,9,月,1,2015,Q3,2015年度
2015-11-10,2015,11,10,火,1,2015,Q3,2015年度
2015-11-11,2015,11,11,水,1,2015,Q3,2015年度
2015-11-12,2015,11,12,木,1,2015,Q3,2015年度
2015-11-13,2015,11,13,金,1,2015,Q3,2015年度
2015-11-14,2015,11,14,土,0,2015,Q3,2015年度
2015-11-15,2015,11,15,日,0,2015,Q3,2015年度
2015-11-16,2015,11,16,月,1,2015,Q3,2015年度
2015-11-17,2015,11,17,火,1,2015,Q3,2015年度
2015-11-18,2015,11,18,水,1,2015,Q3,2015年度
2015-11-19,2015,11,19,木,1,2015,Q3,2015年度
2015-11-20,2015,11,20,金,1,2015,Q3,2015年度
2015-11-21,2015,11,21,土,0,2015,Q3,2015年度
2015-11-22,2015,11,22,日,0,2015,Q3,2015年度
2015-11-23,2015,11,23,月,1,2015,Q3,2015年度
2015-11-24,2015,11,24,火,1,2015,Q3,2015年度
2015-11-25,2015,11,25,水,1,2015,Q3,2015年度
2015-11-26,2015,11,26,木,1,2015,Q3,2015年度
2015-11-27,2015,11,27,金,1,2015,Q3,2015年度
2015-11-28,2015,11,28,土,0,2015,Q3,2015年度
2015-11-29,2015,11,29,日,0,2015,Q3,2015年度
2015-11-30,2015,11,30,月,1,2015,Q3,2015年度
2015-12-01,2015,12,1,火,1,2015,Q3,2015年度
2015-12-02,2015,12,2,水,1,2015,Q3,2015年度
2015-12-03,2015,12,3,木,1,2015,Q3,2015年度
2015-12-04,2015,12,4,金,1,2015,Q3,2015年度
2015-12-05,2015,12,5,土,0,2015,Q3,2015年度
2015-12-06,2015,12,6,日,0,2015,Q3,2015年度
2015-12-07,2015,12,7,月,1,2015,Q3,2015年度
2015-12-08,2015,12,8,火,1,2015,Q3,2015年度
2015-12-09,2015,12,9,水,1,2015,Q3,2015年度
2015-12-10,2015,12,10,木,1,2015,Q3,2015年度
2015-12-11,2015,12,11,金,1,2015,Q3,2015年度
2015-12-12,2015,12,12,土,0,2015,Q3,2015年度
2015-12-13,2015,12,13,日,0,2015,Q3,2015年度
2015-12-14,2015,12,14,月,1,2015,Q3,2015年度
2015-12-15,2015,12,15,火,1,2015,Q3,2015年度
2015-12-16,2015,12,16,水,1,2015,Q3,2015年度
2015-12-17,2015,12,17,木,1,2015,Q3,2015年度
2015-12-18,2015,12,18,金,1,2015,Q3,2015年度
2015-12-19,2015,12,19,土,0,2015,Q3,2015年度
2015-12-20,2015,12,20,日,0,2015,Q3,2015年度
2015-12-21,2015,12,21,月,1,2015,Q3,2015年度
2015-12-22,2015,12,22,火,1,2015,Q3,2015年度
2015-12-23,2015,12,23,水,1,2015,Q3,2015年度
2015-12-24,2015,12,24,木,1,2015,Q3,2015年度
2015-12-25,2015,12,25,金,1,2015,Q3,2015年度
2015-12-26,2015,12,26,土,0,2015,Q3,2015年度
2015-12-27,2015,12,27,日,0,2015,Q3,2015年度
2015-12-28,2015,12,28,月,1,2015,Q3,2015年度
2015-12-29,2015,12,29,火,1,2015,Q3,2015年度
2015-12-30,2015,12,30,水,1,2015,Q3,2015年度
2015-12-31,2015,12,31,木,1,2015,Q3,2015年度
2016-01-01,2016,1,1,金,1,2015,Q3,2015年度
2016-01-02,2016,1,2,土,0,2015,Q3,2015年度
2016-01-03,2016,1,3,日,0,2015,Q3,2015年度
2016-01-04,2016,1,4,月,1,2015,Q3,2015年度
2016-01-05,2016,1,5,火,1,2015,Q3,2015年度
2016-01-06,2016,1,6,水,1,2015,Q3,2015年度
2016-01-07,2016,1,7,木,1,2015,Q3,2015年度
2016-01-08,2016,1,8,金,1,2015,Q3,2015年度
2016-01-09,2016,1,9,土,0,2015,Q3,2015年度
2016-01-10,2016,1,10,日,0,2015,Q3,2015年度
2016-01-11,2016,1,11,月,1,2015,Q3,2015年度
2016-01-12,2016,1,12,火,1,2015,Q3,2015年度
2016-01-13,2016,1,13,水,1,2015,Q3,2015年度
2016-01-14,2016,1,14,木,1,2015,Q3,2015年度
2016-01-15,2016,1,15,金,1,2015,Q3,2015年度
2016-01-16,2016,1,16,土,0,2015,Q3,2015年度
2016-01-17,2016,1,17,日,0,2015,Q3,2015年度
2016-01-18,2016,1,18,月,1,2015,Q3,2015年度
2016-01-19,2016,1,19,火,1,2015,Q3,2015年度
2016-01-20,2016,1,20,水,1,2015,Q3,2015年度
2016-01-21,2016,1,21,木,1,2015,Q3,2015年度
2016-01-22,2016,1,22,金,1,2015,Q3,2015年度
2016-01-23,2016,1,23,土,0,2015,Q3,2015年度
2016-01-24,2016,1,24,日,0,2015,Q3,2015年度
2016-01-25,2016,1,25,月,1,2015,Q3,2015年度
2016-01-26,2016,1,26,火,1,2015,Q3,2015年度
2016-01-27,2016,1,27,水,1,2015,Q3,2015年度
2016-01-28,2016,1,28,木,1,2015,Q3,2015年度
2016-01-29,2016,1,29,金,1,2015,Q3,2015年度
2016-01-30,2016,1,30,土,0,2015,Q3,2015年度
2016-01-31,2016,1,31,日,0,2015,Q3,2015年度
2016-02-01,2016,2,1,月,1,2015,Q3,2015年度
2016-02-02,2016,2,2,火,1,2015,Q3,2015年度
2016-02-03,2016,2,3,水,1,2015,Q3,2015年度
2016-02-04,2016,2,4,木,1,2015,Q3,2015年度
2016-02-05,2016,2,5,金,1,2015,Q3,2015年度
2016-02-06,2016,2,6,土,0,2015,Q3,2015年度
2016-02-07,2016,2,7,日,0,2015,Q3,2015年度
2016-02-08,2016,2,8,月,1,2015,Q3,2015年度
2016-02-09,2016,2,9,火,1,2015,Q3,2015年度
2016-02-10,2016,2,10,水,1,2015,Q3,2015年度
2016-02-11,2016,2,11,木,1,2015,Q3,2015年度
2016-02-12,2016,2,12,金,1,2015,Q3,2015年度
2016-02-13,2016,2,13,土,0,2015,Q3,2015年度
2016-02-14,2016,2,14,日,0,2015,Q3,2015年度
2016-02-15,2016,2,15,月,1,2015,Q3,2015年度
2016-02-16,2016,2,16,火,1,2015,Q3,2015年度
2016-02-17,2016,2,17,水,1,2015,Q3,2015年度
2016-02-18,2016,2,18,木,1,2015,Q3,2015年度
2016-02-19,2016,2,19,金,1,2015,Q3,2015年度
2016-02-20,2016,2,20,土,0,2015,Q3,2015年度
2016-02-21,2016,2,21,日,0,2015,Q3,2015年度
2016-02-22,2016,2,22,月,1,2015,Q3,2015年度
2016-02-23,2016,2,23,火,1,2015,Q3,2015年度
2016-02-24,2016,2,24,水,1,2015,Q3,2015年度
2016-02-25,2016,2,25,木,1,2015,Q3,2015年度
2016-02-26,2016,2,26,金,1,2015,Q3,2015年度
2016-02-27,2016,2,27,土,0,2015,Q3,2015年度
2016-02-28,2016,2,28,日,0,2015,Q3,2015年度
2016-02-29,2016,2,29,月,1,2015,Q3,2015年度
2016-03-01,2016,3,1,火,1,2015,Q3,2015年度
2016-03-02,2016,3,2,水,1,2015,Q3,2015年度
2016-03-03,2016,3,3,木,1,2015,Q3,2015年度
2016-03-04,2016,3,4,金,1,2015,Q3,2015年度
2016-03-05,2016,3,5,土,0,2015,Q3,2015年度
2016-03-06,2016,3,6,日,0,2015,Q3,2015年度
2016-03-07,2016,3,7,月,1,2015,Q3,2015年度
2016-03-08,2016,3,8,火,1,2015,Q3,2015年度
2016-03-09,2016,3,9,水,1,2015,Q3,2015年度
2016-03-10,2016,3,10,木,1,2015,Q3,2015年度
2016-03-11,2016,3,11,金,1,2015,Q3,2015年度
2016-03-12,2016,3,12,土,0,2015,Q3,2015年度
2016-03-13,2016,3,13,日,0,2015,Q3,2015年度
2016-03-14,2016,3,14,月,1,2015,Q3,2015年度
2016-03-15,2016,3,15,火,1,2015,Q3,2015年度
2016-03-16,2016,3,16,水,1,2015,Q3,2015年度
2016-03-17,2016,3,17,木,1,2015,Q3,2015年度
2016-03-18,2016,3,18,金,1,2015,Q3,2015年度
2016-03-19,2016,3,19,土,0,2015,Q3,2015年度
2016-03-20,2016,3,20,日,0,2015,Q3,2015年度
2016-03-21,2016,3,21,月,1,2015,Q3,2015年度
2016-03-22,2016,3,22,火,1,2015,Q3,2015年度
2016-03-23,2016,3,23,水,1,2015,Q3,2015年度
2016-03-24,2016,3,24,木,1,2015,Q3,2015年度
2016-03-25,2016,3,25,金,1,2015,Q3,2015年度
2016-03-26,2016,3,26,土,0,2015,Q3,2015年度
2016-03-27,2016,3,27,日,0,2015,Q3,2015年度
2016-03-28,2016,3,28,月,1,2015,Q3,2015年度
2016-03-29,2016,3,29,火,1,2015,Q3,2015年度
2016-03-30,2016,3,30,水,1,2015,Q3,2015年度
2016-03-31,2016,3,31,木,1,2015,Q3,2015年度
2016-04-01,2016,4,1,金,1,2016,Q1,2016年度
2016-04-02,2016,4,2,土,0,2016,Q1,2016年度
2016-04-03,2016,4,3,日,0,2016,Q1,2016年度
2016-04-04,2016,4,4,月,1,2016,Q1,2016年度
2016-04-05,2016,4,5,火,1,2016,Q1,2016年度
2016-04-06,2016,4,6,水,1,2016,Q1,2016年度
2016-04-07,2016,4,7,木,1,2016,Q1,2016年度
2016-04-08,2016,4,8,金,1,2016,Q1,2016年度
2016-04-09,2016,4,9,土,0,2016,Q1,2016年度
2016-04-10,2016,4,10,日,0,2016,Q1,2016年度
2016-04-11,2016,4,11,月,1,2016,Q1,2016年度
2016-04-12,2016,4,12,火,1,2016,Q1,2016年度
2016-04-13,2016,4,13,水,1,2016,Q1,2016年度
2016-04-14,2016,4,14,木,1,2016,Q1,2016年度
2016-04-15,2016,4,15,金,1,2016,Q1,2016年度
2016-04-16,2016,4,16,土,0,2016,Q1,2016年度
2016-04-17,2016,4,17,日,0,2016,Q1,2016年度
2016-04-18,2016,4,18,月,1,2016,Q1,2016年度
2016-04-19,2016,4,19,火,1,2016,Q1,2016年度
2016-04-20,2016,4,20,水,1,2016,Q1,2016年度
2016-04-21,2016,4,21,木,1,2016,Q1,2016年度
2016-04-22,2016,4,22,金,1,2016,Q1,2016年度
2016-04-23,2016,4,23,土,0,2016,Q1,2016年度
2016-04-24,2016,4,24,日,0,2016,Q1,2016年度
2016-04-25,2016,4,25,月,1,2016,Q1,2016年度
2016-04-26,2016,4,26,火,1,2016,Q1,2016年度
2016-04-27,2016,4,27,水,1,2016,Q1,2016年度
2016-04-28,2016,4,28,木,1,2016,Q1,2016年度
2016-04-29,2016,4,29,金,1,2016,Q1,2016年度
2016-04-30,2016,4,30,土,0,2016,Q1,2016年度
2016-05-01,2016,5,1,日,0,2016,Q1,2016年度
2016-05-02,2016,5,2,月,1,2016,Q1,2016年度
2016-05-03,2016,5,3,火,1,2016,Q1,2016年度
2016-05-04,2016,5,4,水,1,2016,Q1,2016年度
2016-05-05,2016,5,5,木,1,2016,Q1,2016年度
2016-05-06,2016,5,6,金,1,2016,Q1,2016年度
2016-05-07,2016,5,7,土,0,2016,Q1,2016年度
2016-05-08,2016,5,8,日,0,2016,Q1,2016年度
2016-05-09,2016,5,9,月,1,2016,Q1,2016年度
2016-05-10,2016,5,10,火,1,2016,Q1,2016年度
2016-05-11,2016,5,11,水,1,2016,Q1,2016年度
2016-05-12,2016,5,12,木,1,2016,Q1,2016年度
2016-05-13,2016,5,13,金,1,2016,Q1,2016年度
2016-05-14,2016,5,14,土,0,2016,Q1,2016年度
2016-05-15,2016,5,15,日,0,2016,Q1,2016年度
2016-05-16,2016,5,16,月,1,2016,Q1,2016年度
2016-05-17,2016,5,17,火,1,2016,Q1,2016年度
2016-05-18,2016,5,18,水,1,2016,Q1,2016年度
2016-05-19,2016,5,19,木,1,2016,Q1,2016年度
2016-05-20,2016,5,20,金,1,2016,Q1,2016年度
2016-05-21,2016,5,21,土,0,2016,Q1,2016年度
2016-05-22,2016,5,22,日,0,2016,Q1,2016年度
2016-05-23,2016,5,23,月,1,2016,Q1,2016年度
2016-05-24,2016,5,24,火,1,2016,Q1,2016年度
2016-05-25,2016,5,25,水,1,2016,Q1,2016年度
2016-05-26,2016,5,26,木,1,2016,Q1,2016年度
2016-05-27,2016,5,27,金,1,2016,Q1,2016年度
2016-05-28,2016,5,28,土,0,2016,Q1,2016年度
2016-05-29,2016,5,29,日,0,2016,Q1,2016年度
2016-05-30,2016,5,30,月,1,2016,Q1,2016年度
2016-05-31,2016,5,31,火,1,2016,Q1,2016年度
2016-06-01,2016,6,1,水,1,2016,Q1,2016年度
2016-06-02,2016,6,2,木,1,2016,Q1,2016年度
2016-06-03,2016,6,3,金,1,2016,Q1,2016年度
2016-06-04,2016,6,4,土,0,2016,Q1,2016年度
2016-06-05,2016,6,5,日,0,2016,Q1,2016年度
2016-06-06,2016,6,6,月,1,2016,Q1,2016年度
2016-06-07,2016,6,7,火,1,2016,Q1,2016年度
2016-06-08,2016,6,8,水,1,2016,Q1,2016年度
2016-06-09,2016,6,9,木,1,2016,Q1,2016年度
2016-06-10,2016,6,10,金,1,2016,Q1,2016年度
2016-06-11,2016,6,11,土,0,2016,Q1,2016年度
2016-06-12,2016,6,12,日,0,2016,Q1,2016年度
2016-06-13,2016,6,13,月,1,2016,Q1,2016年度
2016-06-14,2016,6,14,火,1,2016,Q1,2016年度
2016-06-15,2016,6,15,水,1,2016,Q1,2016年度
2016-06-16,2016,6,16,木,1,2016,Q1,2016年度
2016-06-17,2016,6,17,金,1,2016,Q1,2016年度
2016-06-18,2016,6,18,土,0,2016,Q1,2016年度
2016-06-19,2016,6,19,日,0,2016,Q1,2016年度
2016-06-20,2016,6,20,月,1,2016,Q1,2016年度
2016-06-21,2016,6,21,火,1,2016,Q1,2016年度
2016-06-22,2016,6,22,水,1,2016,Q1,2016年度
2016-06-23,2016,6,23,木,1,2016,Q1,2016年度
2016-06-24,2016,6,24,金,1,2016,Q1,2016年度
2016-06-25,2016,6,25,土,0,2016,Q1,2016年度
2016-06-26,2016,6,26,日,0,2016,Q1,2016年度
2016-06-27,2016,6,27,月,1,2016,Q1,2016年度
2016-06-28,2016,6,28,火,1,2016,Q1,2016年度
2016-06-29,2016,6,29,水,1,2016,Q1,2016年度
2016-06-30,2016,6,30,木,1,2016,Q1,2016年度
2016-07-01,2016,7,1,金,1,2016,Q2,2016年度
2016-07-02,2016,7,2,土,0,2016,Q2,2016年度
2016-07-03,2016,7,3,日,0,2016,Q2,2016年度
2016-07-04,2016,7,4,月,1,2016,Q2,2016年度
