OPP_ID,DATE_KEY,ACCOUNT_ID,SEGMENT_ID,PRODUCT_ID,SALES_REP_ID,OPP_NAME,STAGE,STAGE_ID,AMOUNT,PROBABILITY,EXPECTED_CLOSE_DATE,CLOSE_DATE,DAYS_IN_STAGE,IS_WON,IS_LOST,IS_OPEN,COMPETITOR,CROSS_SELL_POTENTIAL,ACTIVITY_COUNT,CREATED_DATE
OPP-1015,2015-09-22,A014,SEG001,P001,SR01,ダイキン工業 プレート式熱交換器（標準）,受注,7,99000000,100,2016-02-10,2016-02-10,0,1,0,0,GEA,0,12,2015-09-22
OPP-1016,2015-05-25,A009,SEG001,P001,SR03,旭化成エンジニアリング プレート式熱交換器（標準）,失注,8,70000000,0,2015-07-16,2015-07-16,0,0,1,0,不明,0,6,2015-05-25
OPP-1017,2015-12-28,A009,SEG001,P002,SR03,旭化成エンジニアリング プレート式熱交換器（大型）,失注,8,520000000,0,2016-03-27,2016-03-27,0,0,1,0,SPX FLOW,0,10,2015-12-28
OPP-1018,2015-09-05,A019,SEG001,P001,SR01,住友化学 プレート式熱交換器（標準）,受注,7,111000000,100,2015-12-05,2015-12-05,0,1,0,0,なし,1,6,2015-09-05
OPP-1019,2015-12-29,A005,SEG001,P001,SR04,ENEOS プレート式熱交換器（標準）,失注,8,122000000,0,2016-01-28,2016-01-28,0,0,1,0,なし,0,12,2015-12-29
OPP-1020,2016-02-05,A014,SEG001,P005,SR02,ダイキン工業 船舶用熱交換器,受注,7,365000000,100,2016-04-29,2016-04-29,0,1,0,0,なし,0,6,2016-02-05
OPP-1021,2015-12-21,A019,SEG001,P003,SR04,住友化学 CCS用熱交換器 SX-80,受注,7,631000000,100,2016-03-23,2016-03-23,0,1,0,0,GEA,1,6,2015-12-21
OPP-1022,2015-04-04,A012,SEG001,P003,SR01,丸紅プラント CCS用熱交換器 SX-80,受注,7,797000000,100,2015-05-19,2015-05-19,0,1,0,0,GEA,1,6,2015-04-04
OPP-1023,2015-08-21,A005,SEG001,P001,SR03,ENEOS プレート式熱交換器（標準）,失注,8,71000000,0,2015-10-01,2015-10-01,0,0,1,0,なし,0,5,2015-08-21
OPP-1024,2015-11-29,A025,SEG001,P005,SR10,中部電力 船舶用熱交換器,失注,8,208000000,0,2016-01-06,2016-01-06,0,0,1,0,アルファラバル,0,0,2015-11-29
OPP-1025,2015-04-28,A023,SEG001,P004,SR03,日本製鉄 ヒートポンプ用熱交換器,失注,8,180000000,0,2015-08-02,2015-08-02,0,0,1,0,アルファラバル,0,3,2015-04-28
OPP-1026,2015-07-07,A007,SEG001,P004,SR03,味の素エンジニアリング ヒートポンプ用熱交換器,失注,8,127000000,0,2015-08-07,2015-08-07,0,0,1,0,なし,1,5,2015-07-07
OPP-1027,2015-05-09,A012,SEG001,P003,SR04,丸紅プラント CCS用熱交換器 SX-80,受注,7,1111000000,100,2015-10-26,2015-10-26,0,1,0,0,アルファラバル,1,5,2015-05-09
OPP-1028,2015-07-31,A005,SEG001,P005,SR01,ENEOS 船舶用熱交換器,受注,7,584000000,100,2016-01-01,2016-01-01,0,1,0,0,なし,0,8,2015-07-31
OPP-1029,2015-10-17,A009,SEG001,P004,SR01,旭化成エンジニアリング ヒートポンプ用熱交換器,受注,7,170000000,100,2016-03-11,2016-03-11,0,1,0,0,SPX FLOW,0,11,2015-10-17
OPP-1030,2015-07-21,A008,SEG001,P005,SR04,三菱ケミカル 船舶用熱交換器,失注,8,179000000,0,2015-10-17,2015-10-17,0,0,1,0,なし,1,13,2015-07-21
OPP-1031,2015-12-01,A004,SEG001,P001,SR03,サウジアラムコ プレート式熱交換器（標準）,失注,8,20000000,0,2016-02-20,2016-02-20,0,0,1,0,GEA,0,3,2015-12-01
OPP-1032,2015-05-05,A009,SEG001,P005,SR01,旭化成エンジニアリング 船舶用熱交換器,失注,8,112000000,0,2015-06-18,2015-06-18,0,0,1,0,なし,0,6,2015-05-05
OPP-1033,2015-11-01,A004,SEG001,P005,SR02,サウジアラムコ 船舶用熱交換器,失注,8,415000000,0,2016-01-26,2016-01-26,0,0,1,0,なし,0,8,2015-11-01
OPP-1034,2015-10-20,A017,SEG001,P003,SR02,カーボンテック CCS用熱交換器 SX-80,受注,7,412000000,100,2016-02-03,2016-02-03,0,1,0,0,なし,0,8,2015-10-20
OPP-1035,2016-01-14,A024,SEG001,P001,SR01,三菱重工 プレート式熱交換器（標準）,失注,8,83000000,0,2016-02-06,2016-02-06,0,0,1,0,なし,0,8,2016-01-14
OPP-1036,2015-05-06,A008,SEG001,P005,SR03,三菱ケミカル 船舶用熱交換器,失注,8,588000000,0,2015-07-06,2015-07-06,0,0,1,0,SPX FLOW,1,5,2015-05-06
OPP-1037,2016-02-29,A016,SEG001,P004,SR10,クラレ ヒートポンプ用熱交換器,失注,8,246000000,0,2016-06-07,2016-06-07,0,0,1,0,不明,0,4,2016-02-29
OPP-1038,2015-05-25,A008,SEG001,P003,SR01,三菱ケミカル CCS用熱交換器 SX-80,失注,8,440000000,0,2015-06-27,2015-06-27,0,0,1,0,SPX FLOW,1,9,2015-05-25
OPP-1039,2016-02-19,A017,SEG001,P005,SR02,カーボンテック 船舶用熱交換器,失注,8,186000000,0,2016-05-07,2016-05-07,0,0,1,0,なし,0,7,2016-02-19
OPP-1040,2015-04-23,A023,SEG001,P001,SR01,日本製鉄 プレート式熱交換器（標準）,受注,7,106000000,100,2015-06-25,2015-06-25,0,1,0,0,なし,0,9,2015-04-23
OPP-1041,2015-05-28,A023,SEG001,P002,SR04,日本製鉄 プレート式熱交換器（大型）,受注,7,536000000,100,2015-08-04,2015-08-04,0,1,0,0,なし,0,5,2015-05-28
OPP-1042,2015-04-22,A008,SEG001,P003,SR10,三菱ケミカル CCS用熱交換器 SX-80,受注,7,622000000,100,2015-06-01,2015-06-01,0,1,0,0,SPX FLOW,1,1,2015-04-22
OPP-1043,2015-10-26,A019,SEG001,P002,SR01,住友化学 プレート式熱交換器（大型）,失注,8,705000000,0,2016-02-12,2016-02-12,0,0,1,0,GEA,1,8,2015-10-26
OPP-1044,2015-09-18,A023,SEG001,P002,SR02,日本製鉄 プレート式熱交換器（大型）,失注,8,124000000,0,2015-11-23,2015-11-23,0,0,1,0,不明,0,6,2015-09-18
OPP-1045,2015-04-20,A007,SEG001,P003,SR02,味の素エンジニアリング CCS用熱交換器 SX-80,失注,8,570000000,0,2015-06-01,2015-06-01,0,0,1,0,GEA,1,10,2015-04-20
OPP-1046,2016-03-03,A012,SEG001,P003,SR03,丸紅プラント CCS用熱交換器 SX-80,受注,7,395000000,100,2016-06-25,2016-06-25,0,1,0,0,SPX FLOW,1,4,2016-03-03
OPP-1047,2015-12-31,A020,SEG001,P003,SR03,マレーシアペトロナス CCS用熱交換器 SX-80,受注,7,897000000,100,2016-02-06,2016-02-06,0,1,0,0,アルファラバル,0,7,2015-12-31
OPP-1048,2016-01-31,A014,SEG001,P002,SR10,ダイキン工業 プレート式熱交換器（大型）,受注,7,134000000,100,2016-05-20,2016-05-20,0,1,0,0,なし,0,4,2016-01-31
OPP-1049,2015-07-07,A020,SEG001,P005,SR01,マレーシアペトロナス 船舶用熱交換器,受注,7,569000000,100,2015-11-25,2015-11-25,0,1,0,0,アルファラバル,0,13,2015-07-07
OPP-1050,2016-03-06,A019,SEG001,P005,SR02,住友化学 船舶用熱交換器,失注,8,312000000,0,2016-05-01,2016-05-01,0,0,1,0,なし,1,8,2016-03-06
OPP-1051,2015-09-15,A016,SEG001,P001,SR03,クラレ プレート式熱交換器（標準）,失注,8,88000000,0,2015-11-19,2015-11-19,0,0,1,0,なし,0,7,2015-09-15
OPP-1052,2015-10-12,A011,SEG001,P005,SR02,JFEエンジニアリング 船舶用熱交換器,失注,8,306000000,0,2016-01-20,2016-01-20,0,0,1,0,なし,0,5,2015-10-12
OPP-1053,2015-04-01,A016,SEG001,P005,SR10,クラレ 船舶用熱交換器,失注,8,298000000,0,2015-05-23,2015-05-23,0,0,1,0,SPX FLOW,0,1,2015-04-01
OPP-1054,2015-11-13,A017,SEG001,P004,SR10,カーボンテック ヒートポンプ用熱交換器,失注,8,198000000,0,2016-02-21,2016-02-21,0,0,1,0,GEA,0,4,2015-11-13
OPP-1055,2016-03-05,A005,SEG001,P004,SR02,ENEOS ヒートポンプ用熱交換器,失注,8,138000000,0,2016-06-08,2016-06-08,0,0,1,0,なし,0,8,2016-03-05
OPP-1056,2015-07-11,A016,SEG001,P001,SR02,クラレ プレート式熱交換器（標準）,失注,8,39000000,0,2015-08-12,2015-08-12,0,0,1,0,アルファラバル,0,3,2015-07-11
OPP-1057,2016-02-17,A005,SEG001,P002,SR04,ENEOS プレート式熱交換器（大型）,失注,8,455000000,0,2016-05-14,2016-05-14,0,0,1,0,GEA,0,11,2016-02-17
OPP-1058,2016-03-18,A012,SEG001,P004,SR04,丸紅プラント ヒートポンプ用熱交換器,失注,8,93000000,0,2016-04-01,2016-04-01,0,0,1,0,不明,1,6,2016-03-18
OPP-1059,2016-03-22,A009,SEG001,P004,SR02,旭化成エンジニアリング ヒートポンプ用熱交換器,失注,8,310000000,0,2016-06-10,2016-06-10,0,0,1,0,なし,0,3,2016-03-22
OPP-1060,2015-11-24,A007,SEG001,P005,SR02,味の素エンジニアリング 船舶用熱交換器,失注,8,326000000,0,2016-03-02,2016-03-02,0,0,1,0,なし,1,8,2015-11-24
OPP-1061,2016-01-06,A023,SEG001,P004,SR10,日本製鉄 ヒートポンプ用熱交換器,失注,8,319000000,0,2016-03-17,2016-03-17,0,0,1,0,GEA,0,3,2016-01-06
OPP-1062,2015-08-20,A012,SEG001,P004,SR03,丸紅プラント ヒートポンプ用熱交換器,失注,8,322000000,0,2015-12-10,2015-12-10,0,0,1,0,不明,1,10,2015-08-20
OPP-1063,2015-08-25,A024,SEG001,P002,SR03,三菱重工 プレート式熱交換器（大型）,失注,8,164000000,0,2015-10-08,2015-10-08,0,0,1,0,SPX FLOW,0,8,2015-08-25
OPP-1064,2015-07-28,A005,SEG001,P003,SR10,ENEOS CCS用熱交換器 SX-80,失注,8,302000000,0,2015-09-29,2015-09-29,0,0,1,0,なし,0,1,2015-07-28
OPP-1065,2016-01-03,A023,SEG001,P002,SR01,日本製鉄 プレート式熱交換器（大型）,失注,8,418000000,0,2016-03-16,2016-03-16,0,0,1,0,なし,0,5,2016-01-03
OPP-1066,2016-01-25,A020,SEG001,P002,SR04,マレーシアペトロナス プレート式熱交換器（大型）,失注,8,801000000,0,2016-05-07,2016-05-07,0,0,1,0,アルファラバル,0,14,2016-01-25
OPP-1067,2015-08-31,A001,SEG001,P004,SR04,東洋化学工業 ヒートポンプ用熱交換器,失注,8,356000000,0,2015-12-19,2015-12-19,0,0,1,0,なし,1,11,2015-08-31
OPP-1068,2015-08-18,A012,SEG001,P005,SR10,丸紅プラント 船舶用熱交換器,失注,8,343000000,0,2015-10-26,2015-10-26,0,0,1,0,なし,1,0,2015-08-18
OPP-1069,2015-11-26,A020,SEG001,P004,SR03,マレーシアペトロナス ヒートポンプ用熱交換器,失注,8,283000000,0,2015-12-26,2015-12-26,0,0,1,0,なし,0,3,2015-11-26
OPP-1070,2015-11-06,A001,SEG001,P004,SR10,東洋化学工業 ヒートポンプ用熱交換器,失注,8,72000000,0,2015-12-07,2015-12-07,0,0,1,0,不明,1,3,2015-11-06
OPP-1071,2015-07-18,A014,SEG001,P002,SR01,ダイキン工業 プレート式熱交換器（大型）,失注,8,396000000,0,2015-09-28,2015-09-28,0,0,1,0,SPX FLOW,0,10,2015-07-18
OPP-1072,2015-05-12,A023,SEG001,P004,SR03,日本製鉄 ヒートポンプ用熱交換器,失注,8,128000000,0,2015-07-25,2015-07-25,0,0,1,0,アルファラバル,0,3,2015-05-12
OPP-1073,2016-02-28,A005,SEG001,P003,SR02,ENEOS CCS用熱交換器 SX-80,失注,8,1009000000,0,2016-03-18,2016-03-18,0,0,1,0,不明,0,3,2016-02-28
OPP-1074,2015-08-01,A001,SEG001,P002,SR02,東洋化学工業 プレート式熱交換器（大型）,失注,8,583000000,0,2015-08-31,2015-08-31,0,0,1,0,なし,1,4,2015-08-01
OPP-1075,2015-10-06,A024,SEG001,P005,SR02,三菱重工 船舶用熱交換器,失注,8,459000000,0,2015-11-10,2015-11-10,0,0,1,0,なし,0,4,2015-10-06
OPP-1076,2015-09-07,A007,SEG001,P002,SR03,味の素エンジニアリング プレート式熱交換器（大型）,失注,8,550000000,0,2015-12-03,2015-12-03,0,0,1,0,なし,1,9,2015-09-07
OPP-1077,2016-02-16,A005,SEG001,P004,SR02,ENEOS ヒートポンプ用熱交換器,失注,8,240000000,0,2016-04-01,2016-04-01,0,0,1,0,アルファラバル,0,7,2016-02-16
OPP-1078,2015-11-06,A004,SEG001,P005,SR01,サウジアラムコ 船舶用熱交換器,失注,8,265000000,0,2016-02-12,2016-02-12,0,0,1,0,SPX FLOW,0,6,2015-11-06
OPP-1079,2015-12-07,A001,SEG001,P005,SR03,東洋化学工業 船舶用熱交換器,失注,8,542000000,0,2016-01-03,2016-01-03,0,0,1,0,なし,1,8,2015-12-07
OPP-1080,2015-12-24,A023,SEG001,P004,SR02,日本製鉄 ヒートポンプ用熱交換器,失注,8,103000000,0,2016-03-30,2016-03-30,0,0,1,0,SPX FLOW,0,10,2015-12-24
OPP-1081,2015-08-04,A014,SEG001,P004,SR04,ダイキン工業 ヒートポンプ用熱交換器,失注,8,151000000,0,2015-12-02,2015-12-02,0,0,1,0,アルファラバル,0,9,2015-08-04
OPP-1082,2016-03-08,A024,SEG001,P004,SR02,三菱重工 ヒートポンプ用熱交換器,失注,8,233000000,0,2016-05-09,2016-05-09,0,0,1,0,SPX FLOW,0,3,2016-03-08
OPP-1083,2015-09-29,A009,SEG001,P004,SR03,旭化成エンジニアリング ヒートポンプ用熱交換器,失注,8,205000000,0,2016-01-23,2016-01-23,0,0,1,0,SPX FLOW,0,8,2015-09-29
OPP-1084,2015-12-21,A014,SEG001,P003,SR10,ダイキン工業 CCS用熱交換器 SX-80,失注,8,761000000,0,2016-01-28,2016-01-28,0,0,1,0,アルファラバル,0,1,2015-12-21
OPP-1085,2016-02-25,A012,SEG001,P004,SR04,丸紅プラント ヒートポンプ用熱交換器,失注,8,272000000,0,2016-06-09,2016-06-09,0,0,1,0,なし,1,12,2016-02-25
OPP-1086,2016-03-20,A016,SEG001,P001,SR01,クラレ プレート式熱交換器（標準）,失注,8,39000000,0,2016-05-04,2016-05-04,0,0,1,0,SPX FLOW,0,15,2016-03-20
OPP-1087,2015-09-24,A025,SEG001,P005,SR03,中部電力 船舶用熱交換器,失注,8,379000000,0,2015-12-01,2015-12-01,0,0,1,0,なし,0,8,2015-09-24
OPP-1088,2015-07-28,A014,SEG001,P003,SR04,ダイキン工業 CCS用熱交換器 SX-80,失注,8,487000000,0,2015-08-26,2015-08-26,0,0,1,0,なし,0,8,2015-07-28
OPP-1089,2015-12-04,A009,SEG001,P003,SR01,旭化成エンジニアリング CCS用熱交換器 SX-80,失注,8,360000000,0,2016-01-22,2016-01-22,0,0,1,0,なし,0,14,2015-12-04
OPP-1090,2015-07-09,A016,SEG001,P005,SR10,クラレ 船舶用熱交換器,失注,8,614000000,0,2015-08-29,2015-08-29,0,0,1,0,GEA,0,2,2015-07-09
OPP-1091,2015-06-04,A001,SEG001,P002,SR03,東洋化学工業 プレート式熱交換器（大型）,失注,8,650000000,0,2015-07-23,2015-07-23,0,0,1,0,アルファラバル,1,3,2015-06-04
OPP-1092,2015-12-08,A008,SEG001,P005,SR03,三菱ケミカル 船舶用熱交換器,失注,8,425000000,0,2016-01-04,2016-01-04,0,0,1,0,不明,1,3,2015-12-08
OPP-1093,2015-09-22,A025,SEG001,P005,SR03,中部電力 船舶用熱交換器,失注,8,338000000,0,2015-10-29,2015-10-29,0,0,1,0,アルファラバル,0,7,2015-09-22
OPP-1094,2015-05-08,A005,SEG001,P004,SR01,ENEOS ヒートポンプ用熱交換器,失注,8,177000000,0,2015-08-03,2015-08-03,0,0,1,0,なし,0,15,2015-05-08
OPP-1095,2015-09-03,A008,SEG001,P001,SR02,三菱ケミカル プレート式熱交換器（標準）,失注,8,104000000,0,2015-09-27,2015-09-27,0,0,1,0,GEA,1,4,2015-09-03
OPP-1096,2015-10-12,A012,SEG001,P005,SR04,丸紅プラント 船舶用熱交換器,失注,8,501000000,0,2015-12-22,2015-12-22,0,0,1,0,なし,1,9,2015-10-12
OPP-1097,2015-05-01,A016,SEG001,P005,SR04,クラレ 船舶用熱交換器,失注,8,387000000,0,2015-08-01,2015-08-01,0,0,1,0,なし,0,6,2015-05-01
OPP-1098,2015-05-12,A007,SEG002,P102,SR07,味の素エンジニアリング 医薬滅菌装置,受注,7,1058000000,100,2015-07-25,2015-07-25,0,1,0,0,なし,1,0,2015-05-12
OPP-1099,2016-01-30,A013,SEG002,P102,SR05,明治乳業 医薬滅菌装置,受注,7,1549000000,100,2016-03-08,2016-03-08,0,1,0,0,GEA,0,9,2016-01-30
OPP-1100,2015-07-29,A015,SEG002,P103,SR07,花王 染色仕上機器,失注,8,182000000,0,2015-11-20,2015-11-20,0,0,1,0,不明,1,4,2015-07-29
OPP-1101,2016-02-26,A003,SEG002,P102,SR06,大塚製薬エンジニアリング 医薬滅菌装置,受注,7,1797000000,100,2016-06-03,2016-06-03,0,1,0,0,不明,1,5,2016-02-26
OPP-1102,2016-01-30,A006,SEG002,P101,SR05,カゴメ レトルト殺菌装置,失注,8,1635000000,0,2016-04-25,2016-04-25,0,0,1,0,SPX FLOW,0,12,2016-01-30
OPP-1103,2015-08-18,A010,SEG002,P101,SR06,テルモ レトルト殺菌装置,失注,8,1471000000,0,2015-11-03,2015-11-03,0,0,1,0,なし,0,4,2015-08-18
OPP-1104,2015-04-14,A012,SEG002,P101,SR06,丸紅プラント レトルト殺菌装置,受注,7,1302000000,100,2015-10-08,2015-10-08,0,1,0,0,なし,1,3,2015-04-14
OPP-1105,2015-06-29,A002,SEG002,P103,SR07,日清食品プラント 染色仕上機器,受注,7,791000000,100,2015-11-19,2015-11-19,0,1,0,0,SPX FLOW,0,1,2015-06-29
OPP-1106,2015-11-27,A015,SEG002,P104,SR07,花王 MVR付濃縮装置,受注,7,1459000000,100,2016-03-21,2016-03-21,0,1,0,0,SPX FLOW,1,0,2015-11-27
OPP-1107,2015-08-26,A013,SEG002,P102,SR06,明治乳業 医薬滅菌装置,失注,8,2191000000,0,2015-10-30,2015-10-30,0,0,1,0,不明,0,3,2015-08-26
OPP-1108,2015-05-30,A012,SEG002,P104,SR05,丸紅プラント MVR付濃縮装置,失注,8,513000000,0,2015-08-03,2015-08-03,0,0,1,0,不明,1,13,2015-05-30
OPP-1109,2015-04-28,A018,SEG002,P101,SR07,東レエンジニアリング レトルト殺菌装置,受注,7,1053000000,100,2015-08-28,2015-08-28,0,1,0,0,なし,0,3,2015-04-28
OPP-1110,2015-06-07,A007,SEG002,P104,SR05,味の素エンジニアリング MVR付濃縮装置,失注,8,532000000,0,2015-08-16,2015-08-16,0,0,1,0,なし,1,12,2015-06-07
OPP-1111,2015-08-01,A022,SEG002,P101,SR05,サントリープロダクツ レトルト殺菌装置,失注,8,1311000000,0,2015-09-23,2015-09-23,0,0,1,0,なし,0,5,2015-08-01
OPP-1112,2015-05-29,A007,SEG002,P104,SR05,味の素エンジニアリング MVR付濃縮装置,受注,7,1489000000,100,2015-07-28,2015-07-28,0,1,0,0,なし,1,7,2015-05-29
OPP-1113,2015-08-18,A010,SEG002,P104,SR07,テルモ MVR付濃縮装置,受注,7,851000000,100,2016-01-18,2016-01-18,0,1,0,0,なし,0,1,2015-08-18
OPP-1114,2016-02-01,A006,SEG002,P104,SR07,カゴメ MVR付濃縮装置,失注,8,686000000,0,2016-03-03,2016-03-03,0,0,1,0,不明,0,0,2016-02-01
OPP-1115,2015-12-16,A012,SEG002,P103,SR06,丸紅プラント 染色仕上機器,受注,7,942000000,100,2016-01-15,2016-01-15,0,1,0,0,SPX FLOW,1,7,2015-12-16
OPP-1116,2015-09-24,A015,SEG002,P104,SR05,花王 MVR付濃縮装置,失注,8,890000000,0,2015-11-19,2015-11-19,0,0,1,0,なし,1,13,2015-09-24
OPP-1117,2016-03-23,A012,SEG002,P104,SR06,丸紅プラント MVR付濃縮装置,失注,8,1327000000,0,2016-05-06,2016-05-06,0,0,1,0,なし,1,9,2016-03-23
OPP-1118,2015-11-29,A002,SEG002,P102,SR06,日清食品プラント 医薬滅菌装置,失注,8,1199000000,0,2016-03-12,2016-03-12,0,0,1,0,不明,0,9,2015-11-29
OPP-1119,2015-12-10,A022,SEG002,P104,SR07,サントリープロダクツ MVR付濃縮装置,失注,8,1474000000,0,2015-12-28,2015-12-28,0,0,1,0,GEA,0,4,2015-12-10
OPP-1120,2015-11-20,A015,SEG002,P103,SR05,花王 染色仕上機器,失注,8,207000000,0,2015-12-05,2015-12-05,0,0,1,0,なし,1,7,2015-11-20
OPP-1121,2015-08-14,A006,SEG002,P104,SR07,カゴメ MVR付濃縮装置,失注,8,278000000,0,2015-10-10,2015-10-10,0,0,1,0,なし,0,3,2015-08-14
OPP-1122,2015-10-12,A022,SEG002,P101,SR06,サントリープロダクツ レトルト殺菌装置,失注,8,1752000000,0,2015-12-05,2015-12-05,0,0,1,0,なし,0,10,2015-10-12
OPP-1123,2016-03-16,A003,SEG002,P101,SR07,大塚製薬エンジニアリング レトルト殺菌装置,失注,8,653000000,0,2016-05-05,2016-05-05,0,0,1,0,GEA,1,0,2016-03-16
OPP-1124,2015-05-22,A022,SEG002,P104,SR05,サントリープロダクツ MVR付濃縮装置,失注,8,1109000000,0,2015-07-31,2015-07-31,0,0,1,0,GEA,0,9,2015-05-22
OPP-1125,2015-08-29,A012,SEG002,P101,SR05,丸紅プラント レトルト殺菌装置,失注,8,1641000000,0,2015-10-27,2015-10-27,0,0,1,0,SPX FLOW,1,11,2015-08-29
OPP-1126,2016-03-15,A018,SEG002,P102,SR05,東レエンジニアリング 医薬滅菌装置,失注,8,1447000000,0,2016-07-08,2016-07-08,0,0,1,0,GEA,0,7,2016-03-15
OPP-1127,2016-02-12,A021,SEG002,P102,SR05,協和キリン 医薬滅菌装置,失注,8,2659000000,0,2016-05-23,2016-05-23,0,0,1,0,GEA,0,12,2016-02-12
OPP-1128,2015-11-22,A015,SEG002,P102,SR05,花王 医薬滅菌装置,失注,8,2044000000,0,2016-01-07,2016-01-07,0,0,1,0,なし,1,5,2015-11-22
OPP-1129,2015-05-08,A022,SEG002,P104,SR06,サントリープロダクツ MVR付濃縮装置,失注,8,901000000,0,2015-07-17,2015-07-17,0,0,1,0,SPX FLOW,0,7,2015-05-08
OPP-1130,2015-09-02,A010,SEG002,P104,SR07,テルモ MVR付濃縮装置,失注,8,783000000,0,2015-10-11,2015-10-11,0,0,1,0,なし,0,3,2015-09-02
OPP-1131,2016-01-20,A013,SEG002,P101,SR05,明治乳業 レトルト殺菌装置,失注,8,1246000000,0,2016-03-11,2016-03-11,0,0,1,0,なし,0,9,2016-01-20
OPP-1132,2016-01-15,A013,SEG002,P101,SR07,明治乳業 レトルト殺菌装置,失注,8,723000000,0,2016-04-25,2016-04-25,0,0,1,0,不明,0,0,2016-01-15
OPP-1133,2015-09-28,A007,SEG002,P104,SR06,味の素エンジニアリング MVR付濃縮装置,失注,8,981000000,0,2015-11-09,2015-11-09,0,0,1,0,なし,1,6,2015-09-28
OPP-1134,2015-06-10,A022,SEG002,P103,SR07,サントリープロダクツ 染色仕上機器,失注,8,719000000,0,2015-09-12,2015-09-12,0,0,1,0,アルファラバル,0,0,2015-06-10
OPP-1135,2015-06-07,A002,SEG002,P103,SR06,日清食品プラント 染色仕上機器,失注,8,630000000,0,2015-07-02,2015-07-02,0,0,1,0,SPX FLOW,0,8,2015-06-07
OPP-1136,2016-01-02,A003,SEG003,P203,SR09,大塚製薬エンジニアリング サニタリーバルブ,失注,8,8000000,0,2016-03-02,2016-03-02,0,0,1,0,なし,1,7,2016-01-02
OPP-1137,2015-08-30,A015,SEG003,P201,SR09,花王 ボールバルブ,失注,8,12000000,0,2015-10-26,2015-10-26,0,0,1,0,不明,1,4,2015-08-30
OPP-1138,2015-07-25,A003,SEG003,P202,SR08,大塚製薬エンジニアリング ダイヤフラムバルブ,失注,8,15000000,0,2015-11-08,2015-11-08,0,0,1,0,なし,1,11,2015-07-25
OPP-1139,2015-04-08,A001,SEG003,P203,SR09,東洋化学工業 サニタリーバルブ,受注,7,24000000,100,2015-06-08,2015-06-08,0,1,0,0,なし,1,8,2015-04-08
